,country,lastpage,CShr1,CShr2,CSexpertise1,CSexpertise2,CSexpertise3,CSexpertise4,CSfinance1,CSfinance2[private_foundations],CSfinance2[donations],CSfinance2[national_public_funds],CSfinance2[corporate_sponsorship],CSfinance2[international_public_funds],CSfinance2[other],CSfinance2other,CSfinance3,CSfinance4,CSfoi1,CSfoi2,CSfoi3,CSfoi4,CSfoi5[not_aware],CSfoi5[not_covered],CSfoi5[too_time_consuming],CSfoi5[other],CSfoi5[dont_know],CSfoi5[prefer_not_to_say],CSfoi5other,CSpreselection,CScampact1[1],CScampact1[2],CScampact1[3],CScampact1[4],CScampact1[5],CScampact2[media_contributions],CScampact2[own_publications],CScampact2[petitions_open_letters],CScampact2[public_events],CScampact2[collaborations],CScampact2[demonstrations],CScampact2[social_media],CScampact2[advertising],CScampact2[volunteer_activities],CScampact2[providing_technical_tools],CScampact2[support_for_eu_campaigns],CScampact2[other],CScamptrans1,CScamptrans2,CScampimpact1[increased_awareness],CScampimpact1[policies_reflect_demands],CScampimpact1[created_media_attention],CScampimpact1[achieved_goals],CScampimpact2,CSadvocact1[1],CSadvocact1[2],CSadvocact1[3],CSadvocact1[4],CSadvocact1[5],CSadvocact2[research],CSadvocact2[consultations],CSadvocact2[briefings],CSadvocact2[expert_events],CSadvocact2[participation_in_fora],CSadvocact2[legal_opinions],CSadvocact2[informal_encounters],CSadvocact2[other],CSadvoctrans1,CSadvoctrans2,CSadvocimpact1[increased_awareness],CSadvocimpact1[policies_reflect_recommendations],CSadvocimpact1[more_informed_debates],CSadvocimpact1[achieved_goals],CSadvocimpact2,CSlitigateact1[1],CSlitigateact1[2],CSlitigateact1[3],CSlitigateact1[4],CSlitigateact2[initiating_lawsuit],CSlitigateact2[initiating_complaint],CSlitigateact2[supporting_existing_legislation],CSlitigateact2[other],CSlitigatecost1,CSlitigatecost2,CSlitigatecost3,CSlitigatetrans1,CSlitigatetrans2,CSlitigateimpact1[increased_awareness],CSlitigateimpact1[changed_the_law],CSlitigateimpact1[amendments_of_the_law],CSlitigateimpact1[revealed_new_information],CSlitigateimpact1[achieved_goals],CSlitigateimpact2,CSprotectops1[sectraining],CSprotectops1[e2e],CSprotectops2,CSprotectops3[encrypted_email],CSprotectops3[vpn],CSprotectops3[tor],CSprotectops3[e2e_chat],CSprotectops3[encrypted_hardware],CSprotectops3[2fa],CSprotectops3[other],CSprotectops3other,CSprotectops4,CSprotectleg1,CSprotectleg2,CSprotectleg2no,CSprotectleg3[free_counsel],CSprotectleg3[cost_insurance],CSprotectleg3[other],CSconstraintinter1,CSconstraintinter4[police_search],CSconstraintinter4[seizure],CSconstraintinter4[extortion],CSconstraintinter4[violent_threat],CSconstraintinter4[inspection_during_travel],CSconstraintinter4[detention],CSconstraintinter4[surveillance_signalling],CSconstraintinter4[online_harassment],CSconstraintinter4[entry_on_deny_lists],CSconstraintinter4[exclusion_from_events],CSconstraintinter4[public_defamation],CSconstraintinter5[unsolicited_information],CSconstraintinter5[invitations],CSconstraintinter5[other],CSconstraintinter6[gender],CSconstraintinter6[political],CSconstraintself1[avoid],CSconstraintself1[cancelled_campaign],CSconstraintself1[withdrew_litigation],CSconstraintself1[leave_profession],CSconstraintself1[other],CSconstraintself1other,CSattitude1,CSattitude2,CSattitude3[rule_of_law],CSattitude3[civil_liberties],CSattitude3[effectiveness_of_intel],CSattitude3[legitimacy_of_intel],CSattitude3[trust_in_intel],CSattitude3[critique_of_intel],CSattitude3[prefer_not_to_say],CSattitude4[1],CSattitude4[2],CSattitude4[3],CSattitude4[4],CSattitude4[5],CSattitude4[6],CSattitude5[1],CSattitude5[2],CSattitude5[3],CSattitude5[4],CSattitude5[5],CSattitude5[6],CSattitude6[1],CSattitude6[2],CSattitude6[3],CSattitude6[4],CSattitude6[5],CSattitude6[6],CSgender
country,1.0,0.0,0.335565949226305,0.4465663017935076,0.6350395785617955,0.0,0.0,0.39846206259436906,0.5416451247993695,0.8107136465071938,0.3965475165286166,0.0,0.0,0.4294429259787405,0.38919012795813324,,1.0,0.0,0.0,0.6434266697119436,0.6217593181084796,0.0,0.0,0.0,0.2225610386449795,0.0,0.0,0.1332051296190317,1.0,0.7666112362809868,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4229540337968951,0.6746492869307349,0.7180358254801309,0.0,0.4525547335857462,0.7040377263127663,0.0,0.5427888094720281,0.3639966530944859,0.0,0.0,0.0,0.8206553215153282,0.6259612042071373,0.8050700544226108,0.0,0.0,1.0,1.0,1.0,1.0,,0.2585805909051814,0.3340819878074986,0.45606795105363124,0.06696958987489786,0.38283463231764836,0.7255140487619928,0.6346476006037011,1.0,0.4855462896464933,0.0,0.0,0.08179302317767226,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5312208754936205,0.2696927017272488,0.5140957554346756,0.0,0.0,0.0,0.618026869934214,0.0,0.0,0.0,1.0,0.0,0.0,0.721951752382409,0.718049104029399,0.5213342732290236,0.0,0.4912828891014874,0.0,0.28644588376180163,0.7785507561258528,,0.26108655641920886,0.2474802331031921,0.08520615377590264,1.0,0.0,0.3147895736093715,0.0,0.0,0.0,0.0,0.0,0.0,0.12890910084950163,0.0,0.3002514241954178,0.0,0.6146919763610301,0.5306180358032068,0.0,0.0,0.22746635801869675,0.2506283163959514,0.0,0.0,0.0,0.0,0.0,0.0,0.2611735369904599,,0.3937483151773722,0.22092326708946988,0.03840234677718832,0.0,0.0,0.11741590271806374,0.06718738120417816,0.0,0.0,0.5310346849539962,0.48121769062579345,0.2226823674001485,0.0,0.0,0.12046843396495586,0.812391200527288,0.9474954425436158,0.4368864373353984,0.7220088414193964,0.5977829613200344,0.0,0.6313887170644024,0.43759639552680435,0.0,0.1628982663124789,0.0,0.0,0.0
lastpage,0.0,1.0,0.0,0.0,0.37114679498559033,0.0,0.2909040610109548,0.0,0.6561548429227173,0.38109192268905634,0.3702405200440159,0.0,0.0,0.0,0.0,,1.0,0.4602020498687292,0.0,,,,0.0,0.0,0.4474131975029927,0.1465563475835383,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.40584786419401314,1.0,0.2729564622311137,0.0,0.0,0.0,0.744868812418754,0.0,0.0,0.0,0.0,0.2634202683206118,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,0.0,0.13594708631006955,0.3451448440705983,0.07352266680862973,0.0,0.8916036477340324,1.0,0.0,0.0,0.0,0.0,0.0,0.9016247175337421,1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.5368479524201539,0.16702030169662957,0.0,0.151976897327868,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20183246898820645,0.6427478732556576,0.6427478732556576,0.3652480120468777,0.3742483159154212,0.0,0.6427478732556576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6396187026615009,0.0,,,,,,,,,0.664691527508466,0.664691527508466,0.0,0.0,0.0,0.44915431999549593,0.0,,,,,,,,,,,,,,,,,,,
CShr1,0.335565949226305,0.0,1.0,0.6797144577057829,0.33736909175077084,0.0,0.0,0.0,0.0,0.36856827001389336,0.28322946748571004,0.0,0.0,0.0,0.0,1.0,0.9296131487602525,0.15732609025422867,0.20977187215391652,,,,0.0,0.18349929745186136,0.0,0.2733233899577436,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7437483062892938,0.7716961226807713,0.0,0.39226700939979975,0.0,0.8112510846542736,0.9677096019517359,0.0,0.7670285111094414,0.0,0.8607868619056229,0.0,0.0,0.0,0.5187654653458139,0.7127484057658563,0.0,0.20285056418491376,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.5131022409279795,0.5087227582314677,0.6176184449914792,0.45233460689513616,0.0,0.4162288076288595,0.0,0.4627836847820432,0.0,0.21122126985816173,0.41838428541575573,0.2616424399175918,1.0,1.0,1.0,1.0,1.0,0.0,0.7105646865198031,0.38530447566303316,1.0,0.0,0.2696927017272488,0.5140957554346756,0.0,0.6001674778168228,0.0,0.618026869934214,0.0,0.7105646865198031,0.0,1.0,0.0,0.763781273792615,0.0,0.26242965998456685,0.2976611274974396,0.3229100390065778,0.3638728744884004,0.4104694368545945,0.7600922053615877,0.0,1.0,0.645207256151332,0.3681934261722489,0.0,1.0,0.17912912949302934,0.14663074152618238,0.0,0.0,0.34130415121575314,0.34130415121575314,0.0,0.0,0.0,0.34130415121575314,0.14033683171274922,0.07792821047252439,0.5387327419956942,0.23153128041675639,0.0,0.0,0.0,0.0,0.3332119650165768,0.0,0.16497214695644727,0.42431311923677156,0.47337316842285354,0.2695441457746846,0.0,0.0,0.19344971748015144,0.0,0.0,0.0,0.0,0.367898003074265,0.0,0.0,0.0,0.03011739455609747,0.13207326962866806,0.3488091889115245,0.7315242202289649,0.0,0.0,0.4727872481619177,0.0,0.0,0.9028127772936931,0.6709145607962009,0.7744664977474374,0.36613220099770644,0.45083083196698975,0.4684150903067167,0.7144325091214156,0.4104499247148843,0.42386094538902447,0.0
CShr2,0.4465663017935076,0.0,0.6797144577057829,1.0,0.5630219994882306,0.21727797631867482,0.18040495993635342,0.0,0.0,0.0,0.0,0.0,0.4292955940474045,0.07072390326412654,0.24286727014910064,1.0,0.9741698283511393,0.3532769259123229,0.0,0.0,0.0,0.0,0.0,0.44607055355944053,0.31884505436320015,0.0,0.0,0.0,1.0,0.3734318926378767,1.0,1.0,1.0,,,0.0,0.0,0.4229540337968953,0.805070054422611,0.4229540337968953,0.0,0.4525547335857462,0.0,0.0,0.5427888094720281,0.648739015658506,0.0,0.0,0.8599674569835286,0.9155388798060153,1.0,0.5818513759616689,0.7492615744401879,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.378030132650051,0.7314357238162762,0.0,0.0,0.8450835931347412,0.0,0.26140829983197084,0.0,0.8737119073229838,0.44003199639364027,0.6150758681916997,0.8224639167412762,0.8764431214416504,1.0,1.0,1.0,1.0,1.0,0.30025142419541734,0.6194694464928603,0.8112510846542738,1.0,0.0,0.6883063173593633,0.5427888094720287,0.6883063173593635,0.5269653663255551,0.0,0.0,0.10820620476324486,0.6046806803915807,0.688306317359363,1.0,0.47857024910474,0.4582643890488831,0.05352187179178979,0.5053800315128631,0.3954121742529507,0.4723454647220604,0.8858015675507618,0.37180065267130225,0.7036959132908033,0.5996017610957888,1.0,0.5342627546715927,0.43553098301703574,0.275638703499372,1.0,0.27433718789325845,0.4277036795394534,0.0,0.3676272822988294,0.5081502299919328,0.5081502299919328,0.5203228096300985,0.5369785083877594,0.37802553658084853,0.5081502299919328,0.4430513872953748,0.6476119568021558,0.7373575758886382,0.38319778187242237,0.5287903360036873,0.0,0.17836046076951223,0.38500996066935556,0.0,0.0,0.2339341151589322,0.0,0.25329611538411984,0.0,0.15259391012378715,0.0,0.0,0.10491180321283872,0.0,0.0,0.3408213583874985,0.11048508175950286,0.0,0.0,0.0,0.8240747866672214,0.5224392114977314,0.0,0.0,0.1651058921219515,0.0,0.0,0.5985033884206505,0.4457967607257104,0.0,0.0,0.9297805487382841,0.7816923319050311,0.13317944267166787,0.0,0.6848839546577894,0.5997505419119892,0.3696453800700223,0.0
CSexpertise1,0.6350395785617955,0.37114679498559033,0.33736909175077084,0.5630219994882306,1.0,0.49694896132965466,0.5056614043912334,0.16041037181518972,0.250240550876269,0.0,0.3265741246255125,0.0,0.2754510658461645,0.0,0.17112290750739279,1.0,0.31575305365400175,0.39721430648538253,0.40729531168391936,0.4162288076288583,0.0,0.0,0.0,0.0,0.38977561270633204,0.0,0.0,0.5015718106884572,1.0,0.8081502072468877,1.0,1.0,1.0,0.0,0.0,0.9271433124297831,0.0,0.0,0.9630620277488735,0.0,0.6099454014481792,0.7741692217558269,0.0,0.5319350498348104,0.0,0.6259612042071373,0.0,0.8549366910830573,0.5818513759616689,0.8050700544226108,0.17587040700224502,0.5818513759616689,0.0,0.0,1.0,1.0,1.0,1.0,,0.6221176466689124,0.6325947817677152,0.7274014509952036,0.18224443895674106,0.0,0.786210756583552,0.0,0.9132849095155148,0.30025142419541684,0.3002514241954173,0.0,0.9085743560452952,0.5997505419119892,0.8257312903849005,1.0,1.0,1.0,1.0,1.0,0.4162288076288575,0.3109223049936619,0.2704977852717167,1.0,0.0,0.5151991587409053,0.0,0.9452029343005309,0.15753903946370645,0.0,0.07662637172848609,0.5318325199518689,0.0,0.723848647712782,1.0,0.5757091918373501,0.894504862733688,0.0,0.6806515489192951,0.6060822924336647,0.6932722244245929,0.509637912485183,0.4021770758221714,0.755964626687573,0.8594072186321968,1.0,0.8880628827489124,0.3752982489624372,0.5099632419114924,1.0,0.3928395366652408,0.5045112113595108,0.5476404911986414,0.0,0.7702147123051098,0.7702147123051098,0.1737861314393619,0.20301412522254947,0.540426461955878,0.7702147123051098,0.0,0.4773010273146213,0.24012250850850758,0.261410647894782,0.3664133012143524,0.0,0.43367930008248307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6746492869307343,,0.0,0.0,0.13137281220061595,0.20450210972684063,0.31403656122158086,0.5240656334680259,0.0,0.20932673993180564,1.0,0.6715597844730886,0.46664875917037024,0.3979936957040562,0.0969632734407149,0.6048959817983381,0.7953244358413918,0.3765234792945248,0.0,0.7014785427708454,0.0,0.7971561274261281,0.0,0.0,0.0,0.0,0.0,0.5769182733447471,0.0,0.0
CSexpertise2,0.0,0.0,0.0,0.21727797631867482,0.49694896132965466,1.0,0.5039457983324831,0.3256468055085402,0.3174118264177229,0.0,0.28841481680412306,0.0,0.2862462743428278,0.0,0.5860832902387899,1.0,0.0,0.0,0.0404908923000379,0.6434266697119436,0.3950077384295837,0.0,0.29355423487987137,0.054261285734848154,0.0,0.0,0.29355423487987137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13663899490302225,0.5591844005100703,0.0,0.0,0.6472591692448072,0.7592560221444491,0.6883063173593629,0.0,0.5735170091747909,0.7833514415329621,0.3639966530944858,0.0,0.0,0.8599674569835295,0.7967058759443584,0.0,0.0,0.4229540337968948,0.0,1.0,1.0,1.0,1.0,0.0,0.6287957970443143,0.0,0.0,0.46051798270702243,0.0,0.7486684248078925,0.0,0.41622880762885817,0.0,0.0,0.8472786214649521,0.0,0.902812777293693,0.0,1.0,1.0,1.0,1.0,1.0,0.43940239094168726,0.455950395431891,0.0,1.0,0.688306317359363,0.0,0.1669700776040816,0.4040261328626848,0.5269653663255551,0.3176414845689926,0.6192120777717877,0.6192120777717877,0.0,0.0,1.0,0.0,0.0,0.36578104395032135,0.37824076003056706,0.0,0.0,0.0,0.0,0.0,0.8647244053536686,1.0,0.0,0.21599461442785042,0.0,1.0,0.34224314244881876,0.6018684953086858,0.6541131075903356,0.0,0.1756777218945403,0.1756777218945403,0.6970938894231594,0.5956044647415278,0.4697522890381181,0.1756777218945403,0.0,0.0,0.10832308566427881,0.0,0.0,0.0,0.0,0.0,0.0,0.24376442468197346,0.22360054938201948,0.0,0.0,0.1847090860132783,0.0,,0.5748651887811458,0.6346499286335847,0.0,0.0,0.17435634764351582,0.2643463196879168,0.17435634764351582,0.0,0.20318103899933618,0.0,0.4682017543715416,0.0,0.2731944675522037,0.09709964408692981,0.24501940757224802,0.0,0.0,0.15511958307673407,0.0,0.0,0.0,0.2718229096447603,0.3198093420290391,0.2582307688770544,0.46434418722546683,0.0,0.22315879197625557,0.0
CSexpertise3,0.0,0.2909040610109548,0.0,0.18040495993635342,0.5056614043912334,0.5039457983324831,1.0,0.0,0.0,0.21555727150441228,0.0,0.0,0.26166435694174583,0.26999507744118034,0.6092227530591623,1.0,0.9871547331120365,0.0,0.39443089107046087,0.0,0.6434266697119362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8269127761648499,0.8269127761648499,0.8269127761648499,0.0,0.0,0.0,0.0,0.4752735275581109,0.857752998231226,0.815529531936087,0.0,0.0,0.0,0.0,0.0,0.648739015658506,1.0,0.7660460108118679,0.8599674569835286,0.7967058759443584,0.1323379043120585,0.8599674569835295,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8589525078539018,0.5169741478208407,0.0,0.7031519193695523,0.0,0.0,0.472577290169462,0.5982594463759494,0.2777496149363792,0.0,0.0,0.3333170176199027,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.31764148456899266,0.48917360432415374,0.7863613822721391,1.0,0.86078686190563,0.0,0.16697007760408125,0.0,0.0,0.0,0.0,0.18636521658004046,0.0,0.9284919358356942,1.0,0.0,0.0,0.6443888361373832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.40495037062296835,0.0,1.0,0.0,0.4063683960270372,0.8641537361494707,0.2957345927231985,0.0,0.0,0.0,0.0,0.10646694384718425,0.0,0.0,0.0,0.0,0.0,0.0,0.6405666370396491,0.2844189345411247,0.41271394414776164,0.0,0.0,0.37639464380711707,0.0,0.14637476875287547,0.3443317269817144,0.4669897919107595,,0.3847574252946083,0.6489561923837867,0.17516628909141585,0.523399370595757,0.0,0.0,0.0,0.5328070228739645,0.29355423487987137,0.0,0.1382473752727436,0.0,0.0,0.5574087007202763,0.27965737601766977,0.0,0.0,0.7175568426210506,0.0,0.0,0.911855706276735,0.28052717208876926,0.0,0.348537885192731,0.0,0.8721882518849658,0.4562945362834034,0.2333382504130721
CSexpertise4,0.39846206259436906,0.0,0.0,0.0,0.16041037181518972,0.3256468055085402,0.0,1.0,0.5813671557227541,0.3449704457233576,0.44114885873590776,0.35791230326345946,0.6032870561962375,0.4408045297270177,0.24142874622586577,1.0,0.0,0.0,0.15307039039975956,0.6434266697119436,0.6217593181084796,0.0,1.0,0.0,0.0,0.0,0.3924741935126413,0.0,1.0,0.057347460415452474,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6722392716640033,0.6409614915151568,1.0,0.5319350498348102,0.0,0.5427888094720281,0.0,0.6949867032269842,0.0,,0.8050700544226109,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.5927976289573809,0.49228551456035274,0.0,0.7927192792926543,0.36264584235705855,0.0,0.41622880762885806,0.22086305770448947,0.18743462119997312,0.4588124918402786,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6827930091520918,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8167384615300255,0.8167384615300255,0.4398128718914653,0.3639966530944856,1.0,0.5652723388771992,0.0,0.17472863899151428,0.07579202880287393,0.0,0.0,0.1877438194203754,0.0,0.0,0.28435993900134654,1.0,0.0,0.0,0.3003409084361169,1.0,0.0,0.09457099204352853,0.32755177496243104,0.0,0.0,0.0,0.0,0.0,0.4688729640241346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603755608567896,0.6286129009038549,0.0,0.0,0.466441436126737,0.3905626288879676,0.4530075404155443,0.2549414481528583,0.0,,0.2894816969534185,0.36413405934736426,0.0,0.0,0.0,0.11966462193524816,0.0,0.0,0.07384020419155733,0.784523259409308,0.4527814407617489,0.0,0.5767312858936233,0.0,0.568934145208695,0.0,0.0,0.09989765692835195,0.7681023204234503,0.0,0.0,0.0,0.0,0.3057672805645501,0.32820009481235995,0.4507891765904611,0.3989409429050239,0.0
CSfinance1,0.5416451247993695,0.6561548429227173,0.0,0.0,0.250240550876269,0.3174118264177229,0.0,0.5813671557227541,1.0,0.24814545272405478,0.6380968247199535,0.36085451859892526,0.6969408509856159,0.45180909045004986,0.26785635932226204,1.0,0.0,0.5279674950362011,0.0,0.9643654050839517,0.0,0.0,0.0,0.0,0.0,0.43934217835862305,0.41278677829618887,0.08422959913234605,1.0,0.0,0.8269127761648499,0.8269127761648499,0.8269127761648499,0.0,0.0,0.0,0.39449397661466196,1.0,0.0,0.48627345347551637,0.0,0.0,0.765975405640848,0.4229540337968954,0.0,0.0,0.0,0.617177569062365,0.5818513759616689,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3343693544508601,0.07352266680863094,0.2690309656719852,0.8701618377900397,0.7281060724040296,0.0,0.7707487266267969,0.35385200799346184,0.2533882381324452,0.42285054148271295,0.0,0.4102128773120381,0.0,1.0,1.0,1.0,1.0,1.0,0.5526202338765622,0.0,0.6967767617181043,1.0,0.9284919358356942,0.0,0.296630307187796,0.0,0.8717890827295254,0.2614082998319709,0.0,0.22730644207671807,0.2704977852717181,0.0,1.0,0.0,0.0,0.14343065004482267,0.27587934330062797,0.2542588597293791,0.32217700774009017,0.0,0.3366081801189394,0.7142304654088474,0.6472591692448072,1.0,0.09658591807481973,0.10211397477792321,0.0,1.0,0.22679483391450594,0.13153111088793054,0.49544609846536897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36184072899596204,0.0,0.3197634679639968,0.29817668396183516,0.3493758461208212,,0.2819706153790247,0.30000330679596077,0.3327823118781535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599729010817163,0.0,0.49567275129131694,0.6047014318388024,0.32399444535221317,0.412473993059307,0.21461086091003406,0.0,0.0,0.5778386737127696,0.3970467122281771,0.7193549302540428,0.0,0.0,0.0,0.0,0.0,0.29261625929835855
CSfinance2[private_foundations],0.8107136465071938,0.38109192268905634,0.36856827001389336,0.0,0.0,0.0,0.21555727150441228,0.3449704457233576,0.24814545272405478,1.0,0.6435078581487338,0.8418402240787421,0.6041954027507965,0.9200283471295343,0.8642502406416924,1.0,0.9488909583835763,0.45550042231663473,0.0,0.8951798719978565,0.5005649125323872,0.7036475986672047,0.5912720765005467,0.48055248040565346,0.0,0.2335684546893165,0.0,0.30726440867342536,1.0,0.0,0.8269127761648499,0.8269127761648499,0.8269127761648499,0.0,0.0,0.0,0.8902112290192292,0.7485796789847645,0.0,0.9740797711512553,0.0,0.0,0.9740797711512553,0.7080753192907884,0.7481086232334977,0.0,1.0,0.3639966530944857,0.36399665309448587,0.3639966530944857,0.0,0.36399665309448587,0.20285056418491376,0.0,1.0,1.0,1.0,1.0,,0.9887437777374583,0.8862123099532595,0.8696340918401224,0.0,0.45705000332290385,0.0,0.0,1.0,0.25331330199572005,0.4251380099192043,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.21459940298286684,0.0,0.5730517274580886,1.0,0.7787393868385148,0.0,0.083912362775275,0.0,0.0,0.0,0.0,0.0,0.15760859247135517,0.8467871601187934,1.0,0.3476536805666309,0.0,0.29550039414580287,0.0,0.0,0.7730590714726249,0.0,0.0,0.5713170219994202,0.0,1.0,0.0,0.28860787136686605,0.18064346153635855,1.0,0.20513606410958046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21955572602723086,0.0,0.0,0.0,0.0,0.23714414397884306,0.1875166759367466,0.10328349751689533,0.0,0.0,0.0,0.0,0.0,0.0,0.765975405640848,,0.0,0.0,0.2335684546893165,0.48027373375007676,0.17985404747259587,0.0,0.0,0.5326624963578862,0.0,0.7896941521789205,0.8406718845912949,0.5254328435146407,0.4762290385421056,0.5550206503431404,0.6539128075489463,0.0,0.11344610112164559,0.0,0.0,0.7321709626311876,0.0,0.7806346559815416,0.3868063862294382,0.0,0.0,0.0,0.45415024481465566,0.36286951521895444
