,country,lastpage,MShr1,MShr2,MShr3[daily_newspaper],MShr3[weekly_newspaper],MShr3[magazine],MShr3[tv],MShr3[radio],MShr3[news_agency],MShr3[online_stand_alone],MShr3[online_of_offline],MShr4,MSexpertise1,MSexpertise2,MSexpertise3,MSexpertise4,MSfinance1,MSfinance2,MSfoi1,MSfoi2,MSfoi3,MSfoi4,MSfoi5[not_covered],MSfoi5[too_expensive],MSfoi5[too_time_consuming],MSfoi5[afraid_of_data_destruction],MSfoi5[other],MSfoi5other,MSapp1,MSapp2,MSsoc1,MSsoc2,MSsoc4,MSsoc5[follow_up_on_other_media],MSsoc5[statements_government],MSsoc5[oversight_reports],MSsoc5[leaks],MSsoc5[own_investigations],MSsoc5[dont_know],MSsoc5[other],MSsoc5other,MSsoc6[national_security_risks],MSsoc6[intelligence_success],MSsoc6[intelligence_misconduct],MSsoc6[oversight_interventions],MSsoc6[oversight_failures],MSsoc6[policy_debates_leg_reforms],MSsoc6[other],MSsoc6other,MStrans1,MStrans2,MStrans3,MSimpact1[above_avg_comments],MSimpact1[above_avg_shares],MSimpact1[above_avg_readers],MSimpact1[letters_to_the_editor],MSimpact1[follow_up_by_other_media],MSimpact1[other],MSimpact1other,MSimpact1[none_of_the_above],MSimpact1[dont_know],MSimpact2[diplomatic_pressure],MSimpact2[civic_action],MSimpact2[conversations_with_government],MSimpact2[official_inquiries],MSimpact2[government_statements],MSimpact2[conversations_with_intelligence],MSimpact2[dont_know],MSimpact2[prefer_not_to_say],MSimpact2[other],MSimpact2other,MSimpact2[none_of_the_above],MSprotectops1[sectraining],MSprotectops1[secure_drop],MSprotectops1[e2e],MSprotectops2,MSprotectops3[encrypted_email],MSprotectops3[vpn],MSprotectops3[tor],MSprotectops3[e2e_chat],MSprotectops3[encrypted_hardware],MSprotectops3[2fa],MSprotectops3[secure_drop],MSprotectops3[other],MSprotectops3other,MSprotectops4,MSprotectleg1,MSprotectleg2,MSprotectleg3[free_counsel],MSprotectleg3[cost_insurance],MSprotectleg3[other],MSprotectleg3other,MSprotectleg4[free_counsel],MSprotectleg4[cost_insurance],MSprotectleg4[other],MSprotectleg5,MSprotectrta1,MSprotectrta2,MSprotectrta3,MSprotectrta4,MSprotectrta5,MSprotectrta6,MSconstraintcen1,MSconstraintcen2,MSconstraintcen3,MSconstraintcen5,MSconstraintcen5spec,MSconstraintinter1,MSconstraintinter2,MSconstraintinter4[extortion],MSconstraintinter4[violent_threat],MSconstraintinter4[inspection_during_travel],MSconstraintinter4[surveillance_signalling],MSconstraintinter4[online_harassment],MSconstraintinter4[entry_on_deny_lists],MSconstraintinter4[exclusion_from_events],MSconstraintinter4[public_defamation],MSconstraintinter5[unsolicited_information],MSconstraintinter5[invitations],MSconstraintinter5[other],MSconstraintinter5other,MSconstraintinter6[political],MSconstraintinter6[religious],MSconstraintinter6[other],MSconstraintinter6other,MSconstraintself1[avoid],MSconstraintself1[change_focus],MSconstraintself1[change_timeline],MSconstraintself1[abandon],MSconstraintself1[leave_profession],MSconstraintself1[other],MSconstraintself1other,MSattitude1,MSattitude2,MSattitude3[rule_of_law],MSattitude3[civil_liberties],MSattitude3[effectiveness_of_intel],MSattitude3[legitimacy_of_intel],MSattitude3[trust_in_intel],MSattitude3[critique_of_intel],MSattitude3[prefer_not_to_say],MSattitude4[1],MSattitude4[2],MSattitude4[3],MSattitude4[4],MSattitude4[5],MSattitude4[6],MSattitude5[1],MSattitude5[2],MSattitude5[3],MSattitude5[4],MSattitude5[5],MSattitude5[6],MSattitude6[1],MSattitude6[2],MSattitude6[3],MSattitude6[4],MSattitude6[5],MSattitude6[6],MSgender
country,1.0,0.0,0.0,0.4279756872433154,0.14858775264806082,0.0,0.0,0.128323097009909,0.1650490602323231,0.09415605281840352,0.0,0.0,0.0,0.4237281904426376,0.1876240150935413,0.4290723847624881,0.4187366110006126,0.0,0.018930247278574446,0.0,0.0,0.2334644584630006,0.6343095214769258,0.0,0.0,0.0,0.0,0.0,0.0,0.4485508182922439,0.32636540235084227,0.0,0.0,0.2284813566778199,0.0,0.12433185664813301,0.0,0.0,0.0,0.09415605281840352,0.0,1.0,0.1319798586462644,0.0936840177552939,0.09198288465330687,0.07386495396956992,0.0,0.06689119746357236,0.0,1.0,0.0,0.580369667953453,0.0,0.08023242478612959,0.0,0.09539182303343822,0.0,0.0,0.0,1.0,0.10769545317732175,0.0,0.0,0.0,0.040218314927954,0.06814520868490351,0.07659026777267586,0.12314986971894983,0.0,0.0,0.1348369225669906,1.0,0.15325586558835458,0.0,0.0,0.0,0.5467828739978973,0.0,0.0,0.0,0.0,0.0048633632806198415,0.0,0.4963064137163189,0.0,0.0,0.1679475342064838,0.0,0.0,0.18965023870931078,0.0,0.7151302187404127,0.0,0.45854004322053415,0.36318427991851127,0.46428572654876876,0.6146643190760589,0.37198397921414056,,,0.49327874458503246,0.4458281225445584,0.0,0.1944847796513109,0.0,0.5564280476709507,0.3110692098968108,0.0,0.0,0.0,0.18176928328945918,0.18176928328945918,0.0,0.5867436768728983,0.0,0.0,0.0,0.0,0.08170101219407544,0.0,0.39122726694778953,,0.0,0.0,0.0,0.0,0.5974412010149163,0.6008529133099686,0.0,0.593387311466273,0.350144691239054,0.7447107325689959,0.0,0.0,0.45268495463003916,0.24289486900439847,0.09722371122206089,0.21844570329222832,0.0,0.0,0.0,0.09415605281840352,0.0,0.12765829111705954,0.0,0.7512686418022163,0.32183011601560696,0.0,0.30233958537079925,0.0,0.7869139494169007,0.0,0.0,0.0,0.8319383424668436,0.0,0.37327015740530317,0.0,0.4375709147116292,0.9374694847940265,0.0
lastpage,0.0,1.0,0.0,0.0,0.18263623991057787,0.0,0.0,0.3262813705114407,0.34893726228116173,0.0,0.21736317410732298,0.3228565968489303,0.6057238580904901,0.5371282831528589,0.0,0.0,0.6305158125991628,0.0,0.0,0.0,0.0,0.8066181432756169,0.0,0.0,0.2708008809061837,0.0,1.0,0.43915980736381144,0.43915980736381144,0.1909818758984358,0.0,0.0,0.0,0.3450483031980671,0.30207020931171313,0.15307975846171798,0.326745569245851,0.43975749948039605,0.5531717099713457,0.0,0.0,,0.37178165866095364,0.42207077533171194,0.5572982371382313,0.29172975820861724,0.4719662623311171,0.5923660917489805,0.0,,0.0,0.0,0.0,0.4241847550588662,0.1826362399105777,0.0,0.0,0.36748018912903657,0.0,,0.1874328739306153,0.0,0.0,0.21232563337826132,0.25479557385544094,0.31760242610238526,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.649923085342441,0.3788377799550269,0.0,0.400282069791849,0.49284987428191873,0.34058444655564546,0.0,0.0,0.0,,0.0,0.20260308336836827,0.2761174485144558,0.0,0.0,,,0.0,0.0,0.7516594603914635,0.0,0.47257729016946226,0.0,0.19256307683772106,0.0,,,0.0,0.0,1.0,0.0,,0.0,0.38947965340676843,0.6396187026615009,0.6396187026615009,0.0,0.0,0.41904120469806944,0.3742483159154212,0.0,0.19027028849982694,0.5064852186878809,0.0,,,0.0,0.6396187026615009,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.5151067902912223,0.5586511554826946,0.0,0.0,0.0,0.29172975820861724,0.0,,,,,,,,,,,,,,,,,,,
MShr1,0.0,0.0,1.0,0.0,0.0,0.6186500957617717,0.5932643443486202,0.0,0.0,0.0,0.18408850532374882,0.0,0.1530961968119697,0.5734096750412445,0.3164472649970765,0.5799805135962479,0.0,0.30584312656885654,0.7253490118325552,0.43792182394849144,0.0,0.0,0.0,0.0,0.0,0.28210307836278786,0.0,0.0,0.0,0.0,0.23333111588794508,0.1291338910683194,0.0,0.306637359573367,0.0,0.0,0.31605354579418904,0.3964521175304056,0.0873818143209564,1.0,0.0,1.0,0.3585733520081524,0.0,0.43833469218759846,0.0,0.18408850532374882,0.3673842016787621,0.17180352940849547,1.0,0.727977345725715,0.9154755327299824,0.24693619435790146,0.0,0.0,0.0,0.0,0.26292050280307844,0.0,1.0,0.0,0.8968905752213993,0.0,0.30547752315818033,0.0,0.0,0.0,0.0,0.8566034210390501,0.5702586958682891,0.0,1.0,0.0,0.3999244713632352,0.4093242972683106,0.8473761350449438,0.0,0.4993422313719067,0.8294663487117975,0.6790827712177573,0.41176946138842835,0.7863208163135762,0.8776859166825204,0.633910950066823,0.0,0.0,0.8552671897886468,0.4757966082065267,0.6519288881568475,0.8079959261729902,0.6982129850821052,0.0,0.0,0.0,0.0,0.0,0.35071266936395545,0.5156590392057034,,,0.46937250772295064,0.0,0.0,0.8822916776396876,0.4268289864034661,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3760773373883237,0.0,0.0,0.0,0.0,0.189445727611495,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4013796389184368,0.0,0.0,0.0,0.0,0.3128298593051256,0.7514685115374974,0.0,0.0,0.26312051491788896,0.0,0.3860531015587251,0.11379261723658288,0.0,0.49634848692768463,0.20112976140658623,0.4457943928097659,0.6193297562547925,0.0,0.0,0.3031480646291189,0.0,0.9202391565740454,0.680671509195108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4544891980272735
MShr2,0.4279756872433154,0.0,0.0,1.0,0.0,0.0,0.0,0.3040381714400861,0.3040381714400861,0.0,0.2882228264891877,0.4426691663234833,0.0,0.0,0.4411161964715701,0.0,0.47208123380087996,0.06958940238182687,0.0,0.0,0.6541294029934325,0.879479994402952,0.8844022345872087,0.39284089687250023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43377612744245764,0.6328144664923918,0.0,0.0695340455628275,0.30545884845275345,0.3057609251269286,0.2564721985032235,0.5510370703455195,0.0,0.0,1.0,0.364548640149871,0.352969608696503,0.23988052242374353,0.23988052242374375,0.2564721985032235,0.47404775229793633,0.21158709381374674,1.0,0.35758596378010815,0.0,0.3058557906940729,0.0,0.24865081377084772,0.4490849546099097,0.2809829690086741,0.296182768655517,0.0,1.0,0.0,0.0,0.5580509502421357,0.10637882463813136,0.19402143324851573,0.0,0.15420720778858893,0.5288151431740751,0.0,0.0,0.32258904866595317,1.0,0.15420720778858926,0.0,0.31099271416695323,0.0,0.6521749142918373,0.25125598524035686,0.0,0.0,0.0,0.0,0.27663385225385656,0.0,0.0,0.0,0.0,0.4129657191988845,0.0,0.0,0.0,0.8719456996065433,0.0,0.4846947871832182,0.4730572508172019,0.682266443664155,0.5822836729064901,0.16200149218940293,0.0,0.9428506971313606,0.4892159428490251,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4581591564547544,0.0,0.0,0.1863863195934293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.4158254950827543,0.5562204328534823,0.0,0.22531952770641603,0.41229709963561734,0.23124270865664415,0.0,0.5860483347356068,0.0,0.11497958940589373,0.0,0.5283960905312005,0.0,0.46420613877136185,0.3326876765131562,0.0,0.6225101424616657,0.0,0.5298989167878078,0.5156689848445333,0.0,0.0,0.0,0.0,0.0,0.6117433945569238,0.7298823262792133,0.9689237841260365,0.5252844354436477,0.3678125069807688,0.13064409575811384,0.7916719829551339,0.8729290226044013,0.9358265908227988,0.0
MShr3[daily_newspaper],0.14858775264806082,0.18263623991057787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06107001024525281,0.0,0.19463996521786306,0.0,0.28160175032564777,0.3138609388719317,0.0,0.0,0.2924944651215611,0.22884180253877784,,,,0.19679868162334943,0.0,0.2855328109721068,0.0,0.0,0.0,0.21039611046101497,0.0,0.15513710661632618,0.43892474960705957,0.4395016282074671,0.4070382395933486,0.19679868162334943,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23192955592187312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20546283560976342,0.0,0.0,0.0,1.0,0.08546142585633905,0.0,0.20546283560976342,0.0,0.0,0.0,0.0,0.08546142585633905,0.0,0.0,0.0,1.0,0.23194843632477027,0.1419816968052641,0.0,0.0,0.14985622513400476,0.0,0.29552728120414284,0.2679597063083603,0.0,0.0,0.7072040097390867,0.0,0.0,0.0,0.0,0.0,0.0,0.42503230698720584,0.0,0.0,0.0,0.0,0.0,0.5171840474401804,0.5742467029571381,0.3157600891568442,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16793844795830543,0.0,0.03495024851328906,0.0,0.5783647622103322,0.0,0.30630750386598415,1.0,0.0,0.0,0.49194163326690044,0.0,0.13041820085066635,0.2885144592590628,0.28573168599420107,0.13180155198928803,0.16952547000638027,0.5789190913742829,0.0,0.0,0.37013072764104843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6863809199436928,0.28048735738289404,,0.38678364893894523,0.7257081586569168,0.8470147146617831,0.3511407045471121,1.0,0.0,0.5389496562238144,0.14868934102389672,0.4811069331571721,0.0,,,0.0
MShr3[weekly_newspaper],0.0,0.0,0.6186500957617717,0.0,0.0,1.0,0.2921736932831617,0.0,0.0,0.12082663823073764,0.1102047667462218,0.0,0.0,0.16282950054329054,0.0,0.34654262857872487,0.0,0.0,0.5073673908697647,0.22120288920474365,1.0,1.0,0.08135174661282252,0.0,0.0,0.0,0.12082663823073764,0.0,0.0,0.11135771640349534,0.0,0.241298965115445,0.40374688802866615,0.0,0.0,0.0,0.0,0.3404831783987011,0.0,0.12082663823073764,0.3487336600994546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34565102229740646,0.8174459213939588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5939902879179836,0.0,1.0,0.0,0.2396256038836963,0.27053381106940255,0.0,0.0,0.38869157962235895,0.8044905216789291,0.5471277247141023,0.25858059090518126,0.5524869044620451,0.5360423166335344,0.24849279495967805,0.0,0.0,0.549095955306718,0.1801328884184389,0.0,0.2920520043541586,0.0,0.0,0.0,0.4687187544472607,0.0,0.5171840474401804,0.6616164365144326,0.09474308765672404,,,0.20402648562933287,0.4458281225445584,0.0,0.7636745498264841,0.19151727308684316,1.0,0.0,,0.19932443909392392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83790510013739,0.27505552872198064,0.30630750386598415,,0.0,0.0,0.09139369375055084,0.0,0.0,0.0,0.0,0.0,0.0,0.35940676821919343,0.0,0.17156801457701276,0.5269031708776665,0.1102047667462218,0.0,0.0,0.0,0.0,0.0,0.12082663823073764,0.4175671248238048,0.0,0.0,0.0,0.0,0.3924741935126416,0.0,0.0,0.0,0.27045288579937815,0.6180798009239747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MShr3[magazine],0.0,0.0,0.5932643443486202,0.0,0.0,0.2921736932831617,1.0,0.0,0.0,0.21425096241170652,0.0,0.0,0.0,0.7977503028767421,0.12144580350602036,0.4499817535502738,0.02568032000269572,0.0,0.0,0.09584216529790192,,,,0.0,0.0,0.0,0.21425096241170652,0.0,0.0,0.0,0.07659077194867207,0.5115053855683839,0.34527204129890154,0.12780395287580093,0.0,0.0,0.0,0.0,0.0,0.21425096241170652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3139357540025673,0.5506335582864245,0.0,0.0,0.0,0.0,0.0,0.0,0.39356342749703965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12330825611335579,0.042123363989470995,0.0,0.0,0.38419428477419404,0.12912996975288582,0.0,0.0,0.0,0.188214404139791,0.0,0.0,0.6045008943539334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298084828042455,0.664571314296706,0.6756076212226132,0.0,0.0,1.0,0.0,0.0,0.0,0.5388096729332232,0.0,1.0,0.0,,0.48388516138528276,0.0,0.19027028849982686,0.19027028849982686,0.0,0.0,0.12125497530920346,0.0,0.0,0.0,0.5895976187739403,0.2406028489531331,0.0,1.0,0.0,0.19027028849982686,0.09139369375055084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248194760427668,0.0,0.0,0.0,0.0,0.0,0.0,0.21425096241170652,0.0,0.4612262451475867,0.0,0.10253233900049401,0.0,1.0,0.0,0.0,0.631729982616632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3023817865861898,0.0,0.0
MShr3[tv],0.128323097009909,0.3262813705114407,0.0,0.3040381714400861,0.0,0.0,0.0,1.0,0.2921736932831617,0.21425096241170652,0.27687520106689645,0.39356342749703965,0.0,0.0,0.0,0.0,0.0,0.0,0.19895669531868743,0.11461188647246445,0.0,0.0,0.17797956875620352,0.0,0.0,0.0,0.21425096241170652,0.0,0.0,0.15667408909334382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21425096241170652,0.0,1.0,0.0,0.19619798609006298,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19619798609006298,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.23445067308502995,0.0,0.0,0.0,0.5058777776275468,0.0,0.0,0.3018405658545183,0.23912235641929774,0.0,0.0,0.7036475986672044,0.7281476125380335,0.1341249996865018,0.196578886449362,0.0,0.0,0.0,0.5616157609994633,0.0,0.0,0.0,0.33754055803898736,0.0,0.1925630768377215,0.0,0.0,0.0,0.0,0.08950233145324779,0.0,0.3023817865861898,0.0,0.0,0.0,0.3742483159154212,0.3742483159154212,0.22788823013920637,0.0,0.0,0.0,0.3144524068198692,0.0,0.0,0.0,0.7284204081063228,,0.0,0.3742483159154212,0.8037647011859496,,0.0,0.0,0.0,0.0,0.0,0.0,,0.529609376582371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21425096241170652,0.0,0.0,0.3596165727993552,0.0,0.0,0.0,0.5427046139046394,0.0,0.0,0.5132965005121772,0.0,1.0,0.0,0.0,0.0,1.0,0.3023817865861898,0.0,0.0
MShr3[radio],0.1650490602323231,0.34893726228116173,0.0,0.3040381714400861,0.0,0.0,0.0,0.2921736932831617,1.0,0.12082663823073764,0.0,0.2921736932831617,0.2422542830441495,0.558481585260291,0.3280717246295356,0.0,0.29655435122479773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12082663823073764,0.2921736932831617,0.2921736932831617,0.0,0.1647796237139556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12082663823073764,0.0,1.0,0.12635500192177,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.23445067308502995,0.0,0.30830102684391136,0.0,0.0,0.0,0.0,0.0,0.0,0.7689433868644476,,0.0,0.9648700844578457,0.1341249996865018,0.196578886449362,0.0,0.0,,0.5616157609994633,0.0,0.0,0.0,0.33754055803898736,0.0,0.1925630768377213,0.0,0.0,0.0,0.0,0.08950233145324779,0.0,0.3023817865861898,0.0,0.0,0.0,0.3742483159154212,0.3742483159154212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24671627871779162,,,0.0,0.3742483159154212,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.529609376582371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12082663823073764,0.3959720310496149,0.0,0.49029933387699226,0.0,0.4877258169319001,0.0,0.18828801951604715,0.0,0.0,0.5132965005121772,0.8400010848846218,1.0,0.0,0.9042498929210555,0.0,1.0,0.3023817865861898,0.0,0.0
MShr3[news_agency],0.09415605281840352,0.0,0.0,0.0,0.0,0.12082663823073764,0.21425096241170652,0.21425096241170652,0.12082663823073764,1.0,0.0,0.21425096241170652,0.0,0.0,0.0,0.0,0.0,0.4255258112779409,0.0,0.0,0.0,0.0,0.08135174661282252,0.0,0.44064251966009543,0.0,0.6669491347482102,0.21425096241170652,0.21425096241170652,0.06603326124855241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6669491347482102,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.21425096241170652,,0.0,0.0,0.0,0.31142911835022163,0.0,0.31142911835022163,0.12082663823073764,0.0,0.21425096241170652,1.0,0.0,0.44064251966009543,0.31142911835022163,0.0,0.12082663823073764,0.0,0.0,0.0,0.31142911835022163,0.44064251966009543,0.12082663823073764,1.0,0.0,0.0,0.0,0.648209215507788,0.07177634569631859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.38947965340676843,0.6396187026615009,0.6396187026615009,0.0,0.0,0.0,0.3742483159154212,0.0,0.19027028849982686,0.0,0.0,0.0,,0.0,0.6396187026615009,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.34130415121575286,0.6558322842066133,0.0,0.0,0.21425096241170652,0.0,0.21425096241170652,0.0,0.6669491347482102,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
