,country,lastpage,hr1,hr2,gender,expertise1,expertise2,expertise3,expertise4,finance1,foi1,foi2,foi3,foi4,foi5[not_aware],foi5[not_covered],foi5[too_expensive],foi5[too_time_consuming],foi5[afraid_of_data_destruction],foi5[other],foi5[dont_know],foi5[prefer_not_to_say],foi5other,protectops1[sectraining],protectops1[e2e],protectops2,protectops3[encrypted_email],protectops3[vpn],protectops3[tor],protectops3[e2e_chat],protectops3[encrypted_hardware],protectops3[2fa],protectops3[other],protectops3other,protectops4,protectleg1,protectleg2,protectleg2no,protectleg3[free_counsel],protectleg3[cost_insurance],protectleg3[other],protectleg3other,constraintinter1,constraintinter2,constraintinter4[police_search],constraintinter4[seizure],constraintinter4[extortion],constraintinter4[violent_threat],constraintinter4[inspection_during_travel],constraintinter4[detention],constraintinter4[surveillance_signalling],constraintinter4[online_harassment],constraintinter4[entry_on_deny_lists],constraintinter4[exclusion_from_events],constraintinter4[public_defamation],constraintinter5[unsolicited_information],constraintinter5[invitations],constraintinter5[other],constraintinter5other,constraintinter6[gender],constraintinter6[political],constraintinter6[religious],constraintinter6[other],constraintinter6other,attitude1,attitude2,attitude3[rule_of_law],attitude3[civil_liberties],attitude3[effectiveness_of_intel],attitude3[legitimacy_of_intel],attitude3[trust_in_intel],attitude3[critique_of_intel],attitude3[prefer_not_to_say],attitude4[1],attitude4[2],attitude4[3],attitude4[4],attitude4[5],attitude4[6],attitude5[1],attitude5[2],attitude5[3],attitude5[4],attitude5[5],attitude5[6],attitude6[1],attitude6[2],attitude6[3],attitude6[4],attitude6[5],attitude6[6],surveytype
country,11.882665309453024,-0.4669766766285148,0.9959004976703799,1.8010640980764065,-0.07701239376064713,2.121171577173865,-0.9355740483629424,1.8080157512523762,0.554280816734863,1.221956992548383,-0.8215180489227031,0.20973873819792202,0.18516591241137642,0.29615861662517107,0.5038922453944388,-1.057671453824592,-0.3226753522213719,-0.15656596122328068,-0.008165205172238553,0.574192362774471,-0.008165205172238553,1.1627814067817703,-0.2408935237290463,-0.14749175449356766,0.06840719868870397,2.927393865304803,1.0089704758189069,1.111868357747055,0.8367822820620879,1.2931020976672123,0.358504902168626,0.14061872985467963,0.18080142349823108,0.5625084245887438,0.3501902113521524,1.7274852649007109,0.22837482724743227,0.23823134304432508,0.48519641339084996,1.0844789254157243,0.35824159490441027,-inf,0.36336153258443266,0.6118978181633802,0.5275233492395791,0.5275233492395791,0.4718982564204871,0.4679824045247247,0.9291077724553428,0.5275233492395791,1.393208782166966,0.31544321760067795,0.7921763659256624,0.2129883972053486,0.9291307388080132,-0.45543828437832196,-0.25963407553818046,1.0432781097134523,,-0.09241947463884177,-0.021359910110121737,-0.09241947463884177,0.1358946107943515,-inf,1.7252352946004408,2.372778753726878,1.4148424893628597,-0.20642365845043492,1.1050194425047137,-0.22781124069278202,-0.41112490134410745,-0.9927896407289386,-0.3226753522213719,-0.4988950499469302,2.0748849766248445,-0.050335571923958135,1.2358267168974986,-0.36187318992333506,-0.14089598659053057,2.8863363417325987,1.5188424621440344,2.8789788977539432,0.9303498806503986,0.7720334847529655,0.32016480048241297,2.297985212942042,0.013118134372429356,0.2562091892977529,-1.115653018193297,-1.1230771014370036,1.1219458159143798,-0.3625521023081812
lastpage,-0.4669766766285148,9.78924151791157,-2.5836765281908014,-2.127096880077362,4.4243558505588085,-1.9198380077503636,-0.5790447912892768,-0.4642690940871084,-0.4752335323624236,-0.6766117698024982,-1.094022890650016,0.9125711272173656,0.8214190711590347,-0.17860383033117797,-1.900347503429248,0.22644986189214197,-0.08952264082605116,0.5720695620780317,0.1431056706921047,1.5994676744240368,-1.900347503429248,-1.9731813817520565,-2.6760645025541367,-1.1564961199795762,-2.07483212442692,0.7492312861097227,-0.6389629984892851,-0.8091813643059195,0.3242519474724439,0.10247842598761321,0.5135980757400469,-2.291136488053369,-0.37586836988606487,1.0327672528001652,-2.108391858165788,-1.5719075756549243,-0.6402652112634974,-1.532201018299683,-0.22255177892688516,-0.38064663499386625,0.9977476457280446,,2.3950330564596314,0.2495248699592414,-0.5073168514637845,-0.5073168514637845,-0.2769914503199299,-0.29643499358216424,-2.127168194362499,-0.5073168514637845,-0.2950634859911466,-0.1554820052504496,-0.3156819684145789,-1.0485681702216079,-0.4463791686610824,-0.5670680634605397,-0.08337725748469509,1.4297014964290224,,-0.47758516935861073,-2.3949239088070815,-0.47758516935861073,-0.4307573035306959,,-0.25743341970878686,-0.4887828375130183,4.632351700750775,4.7166562226249,-0.8228800098572284,0.768159992083452,-0.8228800098572284,3.1037131493054555,-2.540545370156758,0.7932131469100394,2.003319279680898,0.2033527998194805,0.8381498489523349,0.8150743026065255,1.3406409442884215,0.2189351382057734,-0.15676094137982025,-0.0009278983709343659,-0.36781398182404684,0.19652150258018047,1.224819713304917,-0.5162058057021496,0.3182443223938688,-0.9923535988236815,1.332732081349718,0.711995174948115,1.1329482918236538,6.611445948084301
hr1,0.9959004976703799,-2.5836765281908014,8.891504075582963,-1.0928954549163716,-0.4346831679217152,-1.468439784605896,-0.27252817163866944,-0.2978170989973999,-0.10016565503880122,-0.5613290528835065,0.874002441528754,0.18720997998995373,-0.7029474204007248,-0.837431559763241,-2.0070203681915215,0.35732907482539167,-1.2923870059598077,0.4765341389865346,-2.0070203681915215,0.2186356089871209,-2.0070203681915215,-1.147063714494967,-1.075091761360865,-0.7106415969382545,1.3236575242043687,-1.65544505182662,-0.1948518684768949,1.623413861217887,-0.308427872805529,-0.4726762957983092,1.0551389661550608,1.920035859140655,-0.7455553724163408,0.5195845204529821,0.5745881108399541,-0.5543992687536452,-0.38403373645659944,-2.7763566062056864,0.8138902575020226,0.8118238536277216,-0.6605211167944143,-inf,-1.011127084304521,-1.0359638538612703,0.35866974982312694,0.35866974982312694,-1.640753313987637,-1.6349714883059367,-0.5116523931737265,0.35866974982312694,0.6546727963490412,-0.7804162262829073,1.131358946735767,0.8580038749642573,-0.826041112545823,-1.3432652454781573,-1.8166451290489225,-1.2729751334613466,,0.47458349962699986,-0.9023376689805878,-1.734284916304592,-1.7909879495765388,-inf,-0.00299822332299136,0.2389926847559428,0.4742471587602948,0.13502750988816933,-2.3068830943116208,1.2005173429529772,-0.90647466133382,0.6804177838359257,-1.2923870059598077,0.7494289748352354,-0.958306040282999,1.666590093778373,-0.025952383638987706,-1.2071648293123258,-0.18257471330815003,0.6965779907523187,-1.4816739818131839,0.3360905111473652,1.7066129743416596,0.15329342322338055,-0.5969178663365861,0.30385473413149267,-0.5662513512975083,1.1171695933493715,0.356598804855124,0.5427067694703758,-0.03449594353584205,1.1506410616440084
hr2,1.8010640980764065,-2.127096880077362,-1.0928954549163716,10.043269615734756,0.35003926870360547,-0.4971169336425464,0.9209955602777132,-1.1704916434270598,1.0118555722404514,0.7721391762061135,-0.41015145659527796,-0.05423900760179205,-1.0221622004584598,0.23544746839638725,-1.7043690265018114,1.1535402416854241,-0.9078548018684097,0.04614662497494772,-1.7043690265018114,-0.7268764473529945,-1.7043690265018114,-0.7735940712488935,-0.6680080284688773,-0.6013495189230866,-1.5928281454021844,1.1195512753509242,0.6769608241893348,-1.4704500317103861,0.2468239054576927,0.4512427941796352,0.20405346954216572,0.81961743739826,0.679469632979119,0.5625084245887438,-2.182707762178451,0.7874691427946472,0.308984610988592,-1.378055832231671,-0.6591116188379115,0.016243315036978817,-0.3534839320167539,-inf,0.22989693713409998,0.2915067565755067,-0.5607531941850457,-0.5607531941850457,-1.429215554359605,-0.650662333567919,-0.45079178572911444,-0.5607531941850457,0.04082144516659454,-0.5595251400065734,0.06600507228230977,0.000395625571396078,-1.4989242142753487,-0.705533033827299,-0.9750371129445484,1.1265704155473621,1.044408794872596,-1.1105383288556725,-0.43045537181831606,-1.4748084828091355,0.2517045618522644,,0.06740754185385223,-1.5634553165213132,0.577692154989907,0.1431979811393494,-0.44474336148850585,-0.7743962055629388,0.8713217617178639,-0.029098235585721985,-0.9078548018684097,0.7181567951351207,-0.21208983986337465,0.6552166734038466,0.2882230714082702,-1.3876624083601825,0.17215398696536258,-0.714137986975123,0.3601598405595368,0.8572095182259456,0.34930425490468686,0.05568305499709579,1.33646845828439,-0.5078873770717609,-0.5784783057222116,0.6963124537141905,-0.43002646428914443,0.6019586697335403,0.3182917702132719,2.2588393767368165
gender,-0.07701239376064713,4.4243558505588085,-0.4346831679217152,0.35003926870360547,11.009084753828198,0.361130777866337,-0.8418207243894311,0.10596587664392727,-0.7911884466603426,1.363493208511109,-0.8562851525145847,0.505393818169963,-0.873172775888058,-0.7691548219341274,-0.008165205172229092,3.408982406960146,-1.1100352706085537,0.4337148701503992,0.18957046558568344,2.419714360217108,-0.008165205172229092,-0.300856431286223,0.6666698152216075,-0.4805019111024078,-0.5311663459809556,-0.8814273756175593,-0.3772657048029809,0.5169012089765176,2.179632816610499,-1.2033359591469823,0.327416097024337,0.09430665218498431,-1.7045579819715961,0.5625084245887438,-0.8918546842434502,0.3116364128492272,0.695097715840867,-0.35142015506399277,-0.778973068001149,-0.8197561867774604,0.18507659829732886,,-0.30671815379786943,-0.19561352747894872,-0.8196991377552173,-0.8196991377552173,-0.9480610130309266,-0.97349810990784,-0.11506833108816748,-0.8196991377552173,-0.37149993028133615,-0.6839140677675046,-0.35937198329847275,-0.6207841557050979,-0.6536391663370423,0.024205972448041544,-0.08011571665042976,-0.24004532106612028,,1.3132869805213518,-0.37808683870146675,-0.8045658458378832,-1.5389118436088949,,-1.0666335102844589,0.4037244223305642,7.428198328537302,6.437268316532986,0.8742523192971027,3.17701498327081,0.8742523192971027,4.7328465754241975,-1.1100352706085537,0.6148074353029984,0.7456151902249909,-0.12964172033493823,-0.6207069593438903,0.4920070095188503,0.13212865456046322,-0.48909784139099827,-1.3349249253817759,0.0161436795384438,0.6332722364406247,1.2612468022633108,0.28193711897715973,-1.166435270192556,0.5352174957434258,1.7651096527103198,1.2116316603948807,0.09468821602985163,0.17053859143320796,0.4208586516838283
expertise1,2.121171577173865,-1.9198380077503636,-1.468439784605896,-0.4971169336425464,0.361130777866337,8.643097633669418,-0.12529059339297974,1.2896323505888032,-1.1319360436580017,-0.21581613952739284,-0.8387168357305328,-0.10777661922986201,-0.4729003684292518,0.30257137337656315,-1.573490834734879,0.6703757609679502,-0.863572701069093,0.45241057449294425,-1.9289753841479218,-0.5963408343146389,-1.573490834734879,-0.19046389761311355,-2.4586330159600953,-0.29472875417335864,-0.7211802394786156,-1.613542029065488,0.21484397435359087,0.3380217411334236,1.2389358418194663,0.14797729766458473,-0.4055536159610643,-0.5341765516627044,0.5965182313889789,0.39589325168876055,-0.8244666044305283,0.5872150551075482,-0.301840204537394,-3.3078021661353807,0.42360149824275134,1.7154445165134764,0.17176540228453788,-inf,0.41697711030140283,-1.3493759690642548,-0.652219472957218,-0.652219472957218,-1.7283641107954282,-1.7325728104610854,-0.6662641064113805,-0.652219472957218,-1.0583604508149431,-0.19593251711935075,-1.1968202632221203,-0.9702478947354107,-0.9539988919757211,-0.402963187787632,-0.39308821547933376,0.3175937534164822,0.998142759373202,-1.8361794033692678,-1.6817258730710691,-0.44757628860212545,0.5780904073531339,-inf,-0.10298084277841112,-0.1818548517627717,0.6217075582570918,0.8822102942037716,-0.2585032270891544,1.1406848970246444,-1.6281206347555846,1.2449694427826414,0.4275611709095872,-0.39444850978617557,1.2949547733014688,-0.7125741447431392,-0.4943296372675253,1.0798510554876333,0.28042038322998475,-1.1535255609288324,0.01633068351689221,0.15997254760996882,-0.5070247289891096,1.051674783271984,-0.09969553599829249,0.07565485014002198,0.272828311542324,0.1088351435608614,-0.3157354893982122,0.15735913584814717,0.05020759737704721,1.4678989929221316
expertise2,-0.9355740483629424,-0.5790447912892768,-0.27252817163866944,0.9209955602777132,-0.8418207243894311,-0.12529059339297974,11.961339403992268,3.6099327593256643,0.9241213630301389,-0.30039788958012303,-0.6562544570802512,0.04805774634641764,-0.7696529063324231,0.5294097726127603,-0.031265158150952745,-0.23111419179556567,-0.09383164385807315,0.9253801476573453,-0.6272863522779428,0.11005996452999214,-0.031265158150952745,-0.5335658703531032,-0.37271467450022266,0.008352468007708627,-0.9805553034180512,-0.09810516154298231,-0.5587643858333504,0.9746370785901948,0.5871318798572397,0.14174414019534823,-0.7460134204108223,0.9161554641400238,0.7738947349337176,0.743555363148216,-0.9678704615061637,1.0343080850954702,-0.8646564312565789,-2.0243361045875137,0.06858691134711616,1.2008892559581605,1.4968068855583665,,-0.2394696953117626,-0.18561231445692736,-0.3431326718384607,-0.3431326718384607,0.23341565114617382,-0.07686722031844324,0.5640082487268615,-0.3431326718384607,-0.684823600134319,-0.2768752927978508,-0.5970018091466474,-0.18371897651538005,0.03523648434758473,0.669493790156633,1.1074867366766743,0.8656088014854337,1.044408794872596,-0.6318477793257301,-0.3028104607913424,-0.6318477793257301,-0.6186124479401455,,0.8588218048827724,-0.44057376776295215,-0.06684352732939275,-0.30569838036969105,-0.41180224874669574,-1.1236588434655197,0.4224779014284333,-1.8487815009967785,-0.7163367918312726,0.5140332724727389,0.15588243621892703,0.6998828555024944,-0.623956006680686,-0.49277093623027235,1.5146845827283117,-0.37525834382867257,-0.2520591838547529,-0.8317331675835997,0.10833979151904523,-0.05711918740834011,-0.41503132995298053,0.679158460917425,0.09036419901868101,-0.07258354307992221,0.40870562735651467,-0.6852808308906481,0.3220947671108601,0.5090213485938426
expertise3,1.8080157512523762,-0.4642690940871084,-0.2978170989973999,-1.1704916434270598,0.10596587664392727,1.2896323505888032,3.6099327593256643,11.491520470147547,0.7097055387041792,0.47909202715351346,-1.2850269501842446,-0.5815301422630861,0.3554019277860922,1.4924339450654727,-0.4462125398525065,-0.5637212340646771,-1.012205912819455,0.7586942063659641,-0.7144342694135309,-0.900392802667202,-0.4462125398525065,0.04589058191659635,-0.42920875103142914,-0.6086194739207114,-1.2377926946424789,1.2150863084468206,-0.793913075817217,0.5807081727778268,-0.21597007126772133,-0.8958743634333396,-1.2669612787632079,-0.9483913355601523,0.18309144315637754,0.743555363148216,-0.2900046765115727,0.90923312337509,0.7400245926586423,-1.2099764198240353,0.11901904834422002,0.9254973886989182,1.0893676000936763,-inf,0.2711941693310869,0.11277304813003687,0.02303037925342861,0.02303037925342861,-0.6395191479926173,-0.6251228791883772,1.2479225582240523,0.02303037925342861,-0.46275794717080176,0.514691541894771,-0.7711514395337052,-0.6105690144626692,-0.6031698468142525,-0.022603163352686702,0.12307958250907133,0.6585763947037179,1.044408794872596,-0.4197959768560651,-0.3219171208529459,0.6321198209084271,0.08020468075639062,-inf,-1.5120229016400757,0.9531624503215641,0.5151638644767798,-0.035896427993933756,1.8383447918168132,-1.2972906184572506,-0.6663698110288788,0.8560664093434205,-0.29957762406283667,1.187701876308155,-0.6267966843424964,1.3031038899646417,-0.23523430155238007,1.5067395252323563,0.0069240073962889975,-0.13850694940545086,0.30958094574512973,0.6871774250378103,1.5670137215380269,0.594043890552645,1.0795172695730137,0.4482953844371492,0.10143578201459358,-0.359998023778928,-0.28004943312172453,0.29396379434752196,1.1308802517098182,1.080064743193077
expertise4,0.554280816734863,-0.4752335323624236,-0.10016565503880122,1.0118555722404514,-0.7911884466603426,-1.1319360436580017,0.9241213630301389,0.7097055387041792,11.345825963641051,2.3596310260420554,-1.4189242531919926,0.21289784557197844,-0.999583437280616,0.9848626882656076,1.265780136374067,1.3533627522890606,-0.7577090266437904,-0.14606521916265858,-0.14490571014999842,-0.4034098681792417,0.8403727010936307,0.1987113851545182,-1.6051843495528517,0.5548011474083971,-1.0261232208476887,-0.8688483614546888,-0.17400048091619477,-0.42780926803317654,0.5666206033471438,0.0193252231063884,1.2800629953038638,-0.38068366101806406,0.8740841094480072,0.743555363148216,-0.9256944796566269,-0.344849140367129,-1.042141188543981,-0.11179276707868997,0.10339260633709972,0.8486273956967423,0.5658341894928648,-inf,0.29456020375355924,0.9607371151444414,-1.0974123181810391,-1.0974123181810391,-1.360824255190268,0.3632689268744723,0.2742805596129199,-1.0974123181810391,-1.4656388069800994,-2.049525988477499,-0.8135551416278113,0.585097641442594,-1.2083981442701064,1.1295776327977565,1.013279271915396,0.5809489254840408,1.044408794872596,-1.068062742581885,-0.0467154850191135,-1.068062742581884,-0.7621624777603934,,0.4733988072251826,-0.06549439705966952,-0.17769962001072706,0.5591152719561155,0.518103407390505,-0.6959407311760653,-0.8730605945475811,-0.8310837249236093,-0.7577090266437904,-0.5876738482419999,-1.0240081558450305,-0.7430361870225656,0.2046396745303362,0.4334890965192565,1.8926741635817068,-1.849628659110922,-0.7292687946294129,0.011838453658375079,-0.07624828242961113,-0.2533241152031666,-0.7292926122358928,-1.5083877798951675,-2.1312206378429024,0.29301306434141716,0.9125364305580421,0.5255983079993051,0.7177818243667853,-0.6348491780773251
finance1,1.221956992548383,-0.6766117698024982,-0.5613290528835065,0.7721391762061135,1.363493208511109,-0.21581613952739284,-0.30039788958012303,0.47909202715351346,2.3596310260420554,11.65169742956169,-0.18283842951938004,0.5617884354498818,0.4186178096503123,0.2354474683963884,-0.9739101222056362,0.8190520689169359,-0.9211724580166801,0.8962522165787377,-0.4153632692123377,0.8626885604997856,-0.4153632692123377,0.5545748923608871,-3.2131215032078475,-0.38420099815475633,-0.48909129634076304,-0.07202779362790962,0.7916425490881482,0.13626651410238733,-0.49604226896693526,-0.10505692782491748,0.0638148056573038,-0.419667900079551,0.13557040969575795,0.5195845204529821,-1.0198238588473847,0.3114389826948603,1.030018112352002,-1.4711117207346172,-0.03777000372353738,0.15710890226206467,-0.07380837766284223,-inf,0.46763286134277054,0.1952344556594381,-1.011067372646953,-1.011067372646953,-1.4709657340732742,-0.43524373869842686,-1.3561859542175063,-1.011067372646953,-1.0051804805291198,-1.6687877551465626,-1.3457215247888756,0.23451184518673002,-1.651475432850285,0.03422544365697339,1.6743958664668082,0.06702304304313374,0.998142759373202,-1.1105383288556743,0.16258931093520923,-0.950085990844267,-0.6652297213414791,-inf,-0.06641101783819273,0.9007258865331578,1.9599619771083128,0.2737877051043364,0.6257850564044444,-0.22117569757875183,0.27001808420930157,-1.2093819119522564,0.17390055427951884,-1.3961230222637822,1.2596667867544182,-0.1983769694747238,-0.6949279449461248,-0.17552259356229627,0.708871870390453,-0.6259154840550001,0.12140716304801787,0.9277077297306902,0.42503874318614787,0.21616283497614538,-0.3382866396980197,-0.20788697288559896,0.3058365445621299,0.810746566741843,-0.43349744390754075,0.15768643574801033,-0.0882648760829478,1.965641529971657
