"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"Consentform";"CShr1";"CShr1other";"CShr2";"CSexpertise1";"CSexpertise2";"CSexpertise3";"CSexpertise4";"CSfinance1";"CSfinance2[SQ01]";"CSfinance2[SQ02]";"CSfinance2[SQ03]";"CSfinance2[SQ04]";"CSfinance2[SQ05]";"CSfinance2[SQ06]";"CSfinance2other";"CSfinance3";"CSfinance4";"CSfoi1";"CSfoi2";"CSfoi3";"CSfoi4";"CSfoi5[SQ01]";"CSfoi5[SQ02]";"CSfoi5[SQ03]";"CSfoi5[SQ04]";"CSfoi5[SQ05]";"CSfoi5[SQ06]";"CSfoi5[SQ07]";"CSfoi5[SQ08]";"CSfoi5[SQ09]";"CSfoi5other";"CSpreselection";"CScampact1[SQ01]";"CScampact1[SQ07]";"CScampact1[SQ03]";"CScampact1[SQ04]";"CScampact1[SQ05]";"CScampact1[SQ06]";"CScampact1[SQ08]";"CScampact1[SQ09]";"CScampact2[SQ01]";"CScampact2[SQ02]";"CScampact2[SQ03]";"CScampact2[SQ04]";"CScampact2[SQ05]";"CScampact2[SQ06]";"CScampact2[SQ07]";"CScampact2[SQ08]";"CScampact2[SQ09]";"CScampact2[SQ10]";"CScampact2[SQ11]";"CScampact2[SQ12]";"CScampact2other";"CScamptrans1";"CScamptrans2";"CScampimpact1[SQ01]";"CScampimpact1[SQ02]";"CScampimpact1[SQ03]";"CScampimpact1[SQ04]";"CScampimpact2";"CSadvocact1[SQ01]";"CSadvocact1[SQ02]";"CSadvocact1[SQ03]";"CSadvocact1[SQ04]";"CSadvocact1[SQ05]";"CSadvocact1[SQ06]";"CSadvocact1[SQ07]";"CSadvocact1[SQ08]";"CSadvocact2[SQ01]";"CSadvocact2[SQ02]";"CSadvocact2[SQ03]";"CSadvocact2[SQ04]";"CSadvocact2[SQ05]";"CSadvocact2[SQ06]";"CSadvocact2[SQ07]";"CSadvocact2[SQ08]";"CSadvocact2other";"CSadvoctrans1";"CSadvoctrans2";"CSadvocimpact1[SQ01]";"CSadvocimpact1[SQ02]";"CSadvocimpact1[SQ03]";"CSadvocimpact1[SQ04]";"CSadvocimpact2";"CSlitigateact1[SQ01]";"CSlitigateact1[SQ02]";"CSlitigateact1[SQ03]";"CSlitigateact1[SQ04]";"CSlitigateact1[SQ05]";"CSlitigateact1[SQ06]";"CSlitigateact1[SQ07]";"CSlitigateact1[SQ08]";"CSlitigateact2[SQ01]";"CSlitigateact2[SQ02]";"CSlitigateact2[SQ03]";"CSlitigateact2[SQ04]";"CSlitigateact2other";"CSlitigatecost1";"CSlitigatecost2";"CSlitigatecost3";"CSlitigatetrans1";"CSlitigatetrans2";"CSlitigateimpact1[SQ01]";"CSlitigateimpact1[SQ02]";"CSlitigateimpact1[SQ03]";"CSlitigateimpact1[SQ04]";"CSlitigateimpact1[SQ05]";"CSlitigateimpact2";"CSprotectops1[SQ01]";"CSprotectops1[SQ02]";"CSprotectops2";"CSprotectops3[SQ01]";"CSprotectops3[SQ02]";"CSprotectops3[SQ03]";"CSprotectops3[SQ04]";"CSprotectops3[SQ05]";"CSprotectops3[SQ06]";"CSprotectops3[SQ07]";"CSprotectops3other";"CSprotectops4";"CSprotectleg1";"CSprotectleg2";"CSprotectleg2no";"CSprotectleg3[SQ01]";"CSprotectleg3[SQ02]";"CSprotectleg3[SQ03]";"CSprotectleg3other";"CSconstraintinter1";"CSconstraintinter2";"CSconstraintinter3";"CSconstraintinter4[SQ01]";"CSconstraintinter4[SQ02]";"CSconstraintinter4[SQ03]";"CSconstraintinter4[SQ04]";"CSconstraintinter4[SQ05]";"CSconstraintinter4[SQ06]";"CSconstraintinter4[SQ07]";"CSconstraintinter4[SQ08]";"CSconstraintinter4[SQ09]";"CSconstraintinter4[SQ10]";"CSconstraintinter4[SQ11]";"CSconstraintinter5[SQ01]";"CSconstraintinter5[SQ02]";"CSconstraintinter5[SQ03]";"CSconstraintinter5ot";"CSconstraintinter6[SQ01]";"CSconstraintinter6[SQ02]";"CSconstraintinter6[SQ03]";"CSconstraintinter6[SQ04]";"CSconstraintinter6[SQ05]";"CSconstraintinter6[SQ06]";"CSconstraintinter6ot";"CSconstraintself1[SQ01]";"CSconstraintself1[SQ02]";"CSconstraintself1[SQ03]";"CSconstraintself1[SQ04]";"CSconstraintself1[SQ05]";"CSconstraintself1oth";"CSattitude1";"CSattitude2";"CSattitude3[SQ01]";"CSattitude3[SQ02]";"CSattitude3[SQ03]";"CSattitude3[SQ04]";"CSattitude3[SQ05]";"CSattitude3[SQ06]";"CSattitude3[SQ08]";"CSattitude3[other]";"TextboxAttitude";"CSattitude4[1]";"CSattitude4[2]";"CSattitude4[3]";"CSattitude4[4]";"CSattitude4[5]";"CSattitude4[6]";"CSattitude5[1]";"CSattitude5[2]";"CSattitude5[3]";"CSattitude5[4]";"CSattitude5[5]";"CSattitude5[6]";"CSattitude6[1]";"CSattitude6[2]";"CSattitude6[3]";"CSattitude6[4]";"CSattitude6[5]";"CSattitude6[6]";"CScountry";"CSgender";"CSgendersd";"CSsnowball[SQ01]";"CSsnowball[SQ02]";"CSsnowball[SQ03]";"CSEmail"
"7";"2021-06-08 17:28:15";"23";"fr";"1879873088";"2021-06-08 17:13:03";"2021-06-08 17:28:15";"AO01";"AO01";"";"4";"6";"AO02";"AO02";"AO02";"AO02";"AO03";"AO02";"AO03";"AO07";"AO03";"AO07";"";"- Projets de recherche européens
- Fondations privées";"AO02";"AO01";"1";"AO01";"AO03";"";"";"";"";"";"";"";"";"";"";"AO03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Contentieu constitutionnel sur l'article L. 811-5 du code de la sécurité intérieur";"Contentieu administratif et européen sur la conservation généralisée des données";"Contentieu administratif sur les décrets d'application de la loi renseignement";"";"";"";"";"";"AO01";"AO04";"AO03";"";"";"AO05";"AO01";"AO01";"AO04";"AO03";"AO43";"AO42";"AO01";"AO42";"AO44";"Nos recours jouent un rôle dans la meilleure connaissance des juges français du droit européen et international applicable aux activités de surveillance. Ils sont fréquemment cités dans les rapports parlementaires ou les rapports des autorités de contrôle s'intéressant au renseignement, et permettent de faire évoluer le droit applicable dans le sens d'un meilleur encadrement de l'activité des services de renseignement.";"AO02";"AO01";"AO02";"AO03";"AO04";"AO03";"AO01";"AO02";"AO02";"";"";"AO02";"AO03";"AO02";"Je n'ai aucune information permettant de penser que je bénéficierais d'une protection particulière. Mes activités militantes font que je communique ou rencontre fréquemment des personnes dont je sais qu'elles ont, ou font encore, l'objet de mesures de surveillance de la part des services de renseignement.";"AO02";"AO02";"";"";"AO02";"AO02";"";"AO02";"AO02";"AO02";"AO02";"AO01";"AO02";"AO03";"AO02";"AO03";"AO03";"AO02";"AO02";"AO02";"";"";"AO02";"AO02";"AO02";"AO02";"AO02";"AO02";"";"AO02";"AO02";"AO02";"AO02";"";"";"AO02";"AO03";"Y";"Y";"";"";"";"Y";"";"";"";"AO06";"AO01";"AO03";"";"";"";"AO06";"";"";"";"";"";"AO03";"";"";"";"";"";"France";"AO03";"";"";"";"";""
"8";"";"1";"fr";"540332120";"2021-06-08 18:15:04";"2021-06-08 18:15:18";"AO01";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"2021-06-09 13:23:18";"23";"fr";"1560348851";"2021-06-09 12:59:40";"2021-06-09 13:23:18";"AO01";"AO06";"Mix bénévole / indépendant / un petit bout de mon boulot ";"4";"7";"AO02";"AO02";"AO03";"AO04";"AO04";"AO04";"AO07";"AO07";"AO07";"AO07";"";"énergie bénévole";"AO06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AO01";"Loi renseignement 2015";"modif intermédiaore 2017-2020";"Loi pater 2021";"Sensibilisation générale";"etc";"";"";"";"AO03";"AO01";"AO03";"AO03";"AO04";"AO04";"AO02";"AO07";"AO02";"AO04";"AO04";"";"";"AO04";"AO04";"AO03";"AO05";"AO03";"AO06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AO01";"AO01";"AO02";"AO03";"AO04";"AO03";"AO03";"AO03";"AO03";"";"";"AO06";"AO06";"AO02";"";"AO03";"AO02";"";"";"AO05";"AO02";"";"AO02";"AO02";"AO02";"AO02";"AO02";"AO02";"AO03";"AO02";"AO02";"AO03";"AO02";"AO02";"AO02";"";"";"AO02";"AO02";"AO02";"AO02";"AO02";"";"";"AO01";"AO03";"AO01";"AO01";"";"";"AO02";"AO03";"";"Y";"";"";"";"Y";"";"prévenir les abus / dénoncer - contester et analyser les usages dévoyés ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"France";"";"";"";"";"";""
"10";"";"1";"fr";"1307966082";"2021-06-09 17:13:34";"2021-06-09 17:14:45";"AO01";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"";"18";"fr";"327843483";"2021-06-09 18:15:22";"2021-06-09 18:22:17";"AO01";"AO01";"";"15";"25";"AO03";"AO01";"AO03";"AO04";"AO07";"AO04";"AO07";"AO02";"AO07";"AO07";"";"";"AO01";"AO02";"";"";"";"";"";"";"Y";"";"";"";"";"";"";"AO01";"Allo place BEauvau";"Allo IGPN";"Un pays qui se tient sage";"";"";"";"";"";"AO01";"AO02";"AO03";"AO01";"AO02";"AO02";"AO01";"AO07";"AO04";"AO07";"AO07";"AO07";"";"AO04";"AO02";"AO01";"AO03";"AO01";"AO03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AO02";"AO01";"AO02";"AO05";"AO04";"AO05";"AO04";"AO02";"AO02";"AO05";"";"AO02";"AO02";"AO02";"Pressions judiciaires et policières sur les lanceurs alerte et journaliste ";"AO01";"AO02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"";"6";"fr";"945968788";"2021-06-09 18:21:13";"2021-06-09 18:24:14";"AO01";"AO04";"";"15";"25";"AO01";"AO01";"AO01";"AO05";"AO07";"AO07";"AO07";"AO07";"AO07";"AO07";"";"";"AO06";"AO02";"";"";"";"";"";"";"";"";"";"Y";"";"";"Aucune chance d'avoir une réponse pertinente";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"2021-06-09 18:49:41";"23";"fr";"1296614221";"2021-06-09 18:34:09";"2021-06-09 18:49:41";"AO01";"AO01";"";"15";"25";"AO02";"AO02";"AO03";"AO03";"AO04";"AO04";"AO07";"AO07";"AO07";"AO07";"";"";"AO01";"AO02";"";"";"";"";"";"";"Y";"";"";"";"";"";"";"AO01";"Allo place BEauvau";"Allo IGPN";"Un pays qui se tient sage";"";"";"";"";"";"AO01";"AO01";"AO07";"AO01";"AO04";"AO03";"AO01";"AO02";"AO07";"AO07";"AO07";"AO07";"";"AO02";"AO04";"AO01";"AO03";"AO02";"AO04";"https://www.davduf.net/alloplacebeauvau-bilan 
https://www.mediapart.fr/studio/panoramique/allo-place-beauvau-cest-pour-un-bilan";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AO02";"AO01";"AO02";"AO05";"AO04";"AO05";"AO04";"AO04";"AO02";"AO05";"";"AO04";"AO02";"AO02";"Trop de pressions policières et judiciaires";"AO02";"AO02";"";"";"AO02";"AO02";"";"AO02";"AO02";"";"";"AO02";"AO02";"AO01";"AO01";"AO03";"AO03";"AO01";"AO02";"AO02";"";"";"";"";"";"";"";"";"";"AO02";"AO02";"AO02";"AO02";"";"";"AO02";"AO03";"Y";"Y";"";"";"";"Y";"";"";"";"AO07";"AO06";"";"";"";"";"AO06";"AO07";"AO04";"";"";"";"AO06";"AO07";"AO04";"";"";"";"France";"AO03";"";"";"";"";"dufresne@davduf.net"
"14";"";"4";"fr";"1996863383";"2021-06-09 21:08:41";"2021-06-09 21:13:00";"AO01";"AO01";"";"2";"26";"AO04";"AO03";"AO02";"AO06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"";"18";"fr";"380285151";"2021-06-10 13:10:01";"2021-06-10 13:13:54";"AO01";"AO01";"";"2";"26";"AO04";"AO03";"AO02";"";"";"";"";"";"";"";"";"";"";"AO02";"";"";"";"";"";"";"Y";"";"";"";"";"";"";"AO01";"";"";"";"";"";"";"";"";"AO03";"AO01";"AO04";"AO01";"AO07";"AO01";"AO02";"AO07";"";"AO02";"";"";"";"AO03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AO01";"AO01";"AO02";"AO01";"AO02";"AO01";"AO01";"AO01";"AO02";"";"";"AO02";"AO03";"AO02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"";"1";"fr";"1943727613";"2021-06-25 18:21:01";"2021-06-25 18:21:07";"AO01";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
